Day, Suceptible, Exposed, Infected, Total
0, 1000, 0, 1, 1001
1, 999.8, 0.2, 1, 1001
2, 999.4, 0.6, 1, 1001
3, 999.4, 0.6, 1, 1001
4, 999, 1, 1, 1001
5, 998.8, 1.2, 1, 1001
6, 998.2, 1.8, 1, 1001
7, 998, 2, 1, 1001
8, 998, 2, 1, 1001
9, 997.8, 2.2, 1, 1001
10, 997.6, 2.4, 1, 1001
11, 997.4, 2.6, 1, 1001
12, 997.2, 2.8, 1, 1001
13, 997, 3, 1, 1001
14, 997.4, 3.6, 0, 1001
15, 997.4, 3.6, 0, 1001
16, 997.4, 3.6, 0, 1001
17, 997.4, 3.6, 0, 1001
18, 997.4, 3.6, 0, 1001
19, 997.4, 3.6, 0, 1001
20, 997.4, 3.6, 0, 1001
21, 997.4, 3.4, 0.2, 1001
22, 997.2, 3.2, 0.6, 1001
23, 997, 3.4, 0.6, 1001
24, 996.6, 3.4, 1, 1001
25, 996.6, 3.2, 1.2, 1001
26, 996.4, 2.8, 1.8, 1001
27, 995.6, 3.4, 2, 1001
28, 995.2, 3.8, 2, 1001
29, 994.6, 4.2, 2.2, 1001
30, 994.2, 4.4, 2.4, 1001
31, 994, 4.4, 2.6, 1001
32, 993.8, 4.4, 2.8, 1001
33, 992.4, 5.6, 3, 1001
34, 991.2, 6.2, 3.6, 1001
35, 990.8, 6.8, 3.4, 1001
36, 989.4, 8.6, 3, 1001
37, 989, 9, 3, 1001
38, 988.6, 9.8, 2.6, 1001
39, 988.4, 10.2, 2.4, 1001
40, 989, 10.2, 1.8, 1001
41, 989.2, 10.2, 1.6, 1001
42, 988.8, 10.4, 1.8, 1001
43, 988.6, 10.6, 1.8, 1001
44, 988.2, 10.8, 2, 1001
45, 988, 11.2, 1.8, 1001
46, 987.2, 12, 1.8, 1001
47, 986.6, 12, 2.4, 1001
48, 987, 11.8, 2.2, 1001
49, 986.6, 11.6, 2.8, 1001
50, 986.2, 11.6, 3.2, 1001
51, 985.8, 11.8, 3.4, 1001
52, 985.6, 11.8, 3.6, 1001
53, 984.6, 11.4, 5, 1001
54, 983.6, 11.2, 6.2, 1001
55, 982, 12.2, 6.8, 1001
56, 981.8, 10.8, 8.4, 1001
57, 980.8, 11.6, 8.6, 1001
58, 979.4, 12.6, 9, 1001
59, 978.4, 13.2, 9.4, 1001
60, 977, 14.8, 9.2, 1001
61, 976.8, 15.8, 8.4, 1001
62, 974.8, 17.8, 8.4, 1001
63, 973.4, 19.4, 8.2, 1001
64, 971, 21.6, 8.4, 1001
65, 969.8, 22.6, 8.6, 1001
66, 968.6, 23, 9.4, 1001
67, 967.4, 24.8, 8.8, 1001
68, 967, 26.2, 7.8, 1001
69, 965.6, 27.8, 7.6, 1001
70, 966, 28.8, 6.2, 1001
71, 965, 29.8, 6.2, 1001
72, 963.8, 31.6, 5.6, 1001
73, 963.6, 31.2, 6.2, 1001
74, 960.6, 33.2, 7.2, 1001
75, 959.2, 33, 8.8, 1001
76, 959, 33.2, 8.8, 1001
77, 958.4, 33, 9.6, 1001
78, 956.8, 33.4, 10.8, 1001
79, 954.8, 34.8, 11.4, 1001
80, 953.4, 35.6, 12, 1001
81, 952.2, 36.6, 12.2, 1001
82, 950, 36.6, 14.4, 1001
83, 948.2, 36.8, 16, 1001
84, 945.6, 37, 18.4, 1001
85, 943.2, 38.4, 19.4, 1001
86, 940.8, 39.6, 20.6, 1001
87, 938.4, 40.4, 22.2, 1001
88, 935, 43.2, 22.8, 1001
89, 931.4, 46.4, 23.2, 1001
90, 929, 47.8, 24.2, 1001
91, 924, 52.6, 24.4, 1001
92, 921.2, 55.2, 24.6, 1001
93, 918.4, 58.4, 24.2, 1001
94, 914.2, 61.2, 25.6, 1001
95, 910.6, 64.4, 26, 1001
96, 909.4, 67.4, 24.2, 1001
97, 907.6, 70.2, 23.2, 1001
98, 905.8, 72.6, 22.6, 1001
99, 902.8, 74.6, 23.6, 1001
100, 898, 78.4, 24.6, 1001
101, 896, 81, 24, 1001
102, 893.4, 82.8, 24.8, 1001
103, 891.4, 84.6, 25, 1001
104, 888.8, 85.6, 26.6, 1001
105, 885.8, 87.2, 28, 1001
106, 883.6, 88.8, 28.6, 1001
107, 880.4, 89.2, 31.4, 1001
108, 878.8, 89.4, 32.8, 1001
109, 872.6, 91.8, 36.6, 1001
110, 866.2, 96, 38.8, 1001
111, 860.6, 96.4, 44, 1001
112, 855.8, 98.8, 46.4, 1001
113, 851.6, 101.6, 47.8, 1001
114, 845.6, 104.2, 51.2, 1001
115, 840.8, 106.4, 53.8, 1001
116, 837.6, 108.4, 55, 1001
117, 831.8, 112.6, 56.6, 1001
118, 826, 116.8, 58.2, 1001
119, 815, 126.2, 59.8, 1001
120, 809.2, 128.4, 63.4, 1001
